ID_DATE,DATE_SNAPSHOT,NUMERO_SEMAINE,NOM_MOIS,ANNEE,NUM_TRIMESTRE,INTITULE_TRIMESTRE,NB_JOURS_FERIES,FLAG_ANNEE_BISSEXTILE
169,18/06/2010,24,June     ,2010,2,T2,0,N
170,19/06/2010,24,June     ,2010,2,T2,0,N
171,20/06/2010,24,June     ,2010,2,T2,0,N
172,21/06/2010,25,June     ,2010,2,T2,0,N
173,22/06/2010,25,June     ,2010,2,T2,0,N
174,23/06/2010,25,June     ,2010,2,T2,0,N
175,24/06/2010,25,June     ,2010,2,T2,0,N
176,25/06/2010,25,June     ,2010,2,T2,0,N
177,26/06/2010,25,June     ,2010,2,T2,0,N
178,27/06/2010,25,June     ,2010,2,T2,0,N
179,28/06/2010,26,June     ,2010,2,T2,0,N
180,29/06/2010,26,June     ,2010,2,T2,0,N
181,30/06/2010,26,June     ,2010,2,T2,0,N
182,01/07/2010,26,July     ,2010,3,T3,0,N
183,02/07/2010,26,July     ,2010,3,T3,0,N
184,03/07/2010,26,July     ,2010,3,T3,0,N
185,04/07/2010,26,July     ,2010,3,T3,0,N
186,05/07/2010,27,July     ,2010,3,T3,0,N
187,06/07/2010,27,July     ,2010,3,T3,0,N
188,07/07/2010,27,July     ,2010,3,T3,0,N
189,08/07/2010,27,July     ,2010,3,T3,0,N
190,09/07/2010,27,July     ,2010,3,T3,0,N
191,10/07/2010,27,July     ,2010,3,T3,0,N
192,11/07/2010,27,July     ,2010,3,T3,0,N
193,12/07/2010,28,July     ,2010,3,T3,0,N
194,13/07/2010,28,July     ,2010,3,T3,0,N
195,14/07/2010,28,July     ,2010,3,T3,0,N
196,15/07/2010,28,July     ,2010,3,T3,0,N
197,16/07/2010,28,July     ,2010,3,T3,0,N
198,17/07/2010,28,July     ,2010,3,T3,0,N
199,18/07/2010,28,July     ,2010,3,T3,0,N
200,19/07/2010,29,July     ,2010,3,T3,1,N
201,20/07/2010,29,July     ,2010,3,T3,0,N
202,21/07/2010,29,July     ,2010,3,T3,0,N
203,22/07/2010,29,July     ,2010,3,T3,0,N
204,23/07/2010,29,July     ,2010,3,T3,0,N
205,24/07/2010,29,July     ,2010,3,T3,0,N
206,25/07/2010,29,July     ,2010,3,T3,0,N
207,26/07/2010,30,July     ,2010,3,T3,0,N
208,27/07/2010,30,July     ,2010,3,T3,0,N
209,28/07/2010,30,July     ,2010,3,T3,0,N
210,29/07/2010,30,July     ,2010,3,T3,0,N
211,30/07/2010,30,July     ,2010,3,T3,0,N
212,31/07/2010,30,July     ,2010,3,T3,0,N
213,01/08/2010,30,August   ,2010,3,T3,0,N
214,02/08/2010,31,August   ,2010,3,T3,0,N
215,03/08/2010,31,August   ,2010,3,T3,0,N
216,04/08/2010,31,August   ,2010,3,T3,0,N
217,05/08/2010,31,August   ,2010,3,T3,0,N
218,06/08/2010,31,August   ,2010,3,T3,0,N
219,07/08/2010,31,August   ,2010,3,T3,0,N
220,08/08/2010,31,August   ,2010,3,T3,0,N
221,09/08/2010,32,August   ,2010,3,T3,0,N
222,10/08/2010,32,August   ,2010,3,T3,0,N
223,11/08/2010,32,August   ,2010,3,T3,0,N
224,12/08/2010,32,August   ,2010,3,T3,0,N
225,13/08/2010,32,August   ,2010,3,T3,0,N
226,14/08/2010,32,August   ,2010,3,T3,0,N
227,15/08/2010,32,August   ,2010,3,T3,0,N
228,16/08/2010,33,August   ,2010,3,T3,0,N
229,17/08/2010,33,August   ,2010,3,T3,0,N
230,18/08/2010,33,August   ,2010,3,T3,0,N
231,19/08/2010,33,August   ,2010,3,T3,0,N
232,20/08/2010,33,August   ,2010,3,T3,0,N
233,21/08/2010,33,August   ,2010,3,T3,0,N
234,22/08/2010,33,August   ,2010,3,T3,0,N
235,23/08/2010,34,August   ,2010,3,T3,0,N
236,24/08/2010,34,August   ,2010,3,T3,0,N
237,25/08/2010,34,August   ,2010,3,T3,0,N
238,26/08/2010,34,August   ,2010,3,T3,0,N
239,27/08/2010,34,August   ,2010,3,T3,0,N
240,28/08/2010,34,August   ,2010,3,T3,0,N
